"unit_kerja_id","kode_shift","nama_shift","jam_masuk","jam_keluar","toleransi_telat_minutes","is_active","is_default","created_at","id"
3,S3,Shift Siang,13:00:00,13:34:00,0,true,false,2025-12-01 13:34:53.065,26
7,S3,Shift Siang,13:00:00,21:00:00,0,false,false,2025-11-25 17:23:15.565,23
7,S2,Shift Pagi,09:00:00,17:00:00,0,false,false,2025-11-19 11:23:31.107,6
7,S4,Shift Midle,11:00:00,19:00:00,0,false,false,2025-11-25 17:23:15.565,24
6,S1,Shift 1,09:00:00,18:00:00,5,true,true,2025-11-19 11:23:31.107,5
4,S1,Shift HO,09:00:00,18:00:00,5,false,false,2025-11-19 11:23:31.107,4
5,S1,Shift 1,09:00:00,18:00:00,5,true,true,2025-11-19 11:23:31.107,7
1,S1,Shift 1,09:00:00,18:00:00,5,false,true,2025-11-19 11:23:31.107,1
5,S2,Shift 2,09:00:00,15:00:00,5,true,false,2025-11-25 17:23:15.565,17
5,S3,Shift 3,15:00:00,22:00:00,5,true,false,2025-11-25 17:23:15.565,18
5,S4,Shift 4,08:00:00,22:00:00,5,true,false,2025-11-25 17:23:15.565,19
6,S2,Shift 2,09:00:00,15:00:00,5,true,false,2025-11-25 17:23:15.565,20
6,S3,Shift 3,15:00:00,22:00:00,5,true,false,2025-11-25 17:23:15.565,21
6,S4,Shift 4,08:00:00,22:00:00,5,true,false,2025-11-25 17:23:15.565,22
1,S4,Shift Pagi,08:00:00,22:00:00,0,true,false,2025-11-25 17:23:15.565,10
1,S3,Shift 3,15:00:00,22:00:00,5,false,false,2025-11-25 17:23:15.565,9
1,S2,Shift Siang,09:00:00,15:00:00,0,false,false,2025-11-25 17:23:15.565,8
2,S1,Shift Pagi,09:00:00,17:00:00,0,true,false,2025-11-19 11:23:31.107,2
2,S4,Shift 4,08:00:00,22:00:00,5,false,false,2025-11-25 17:23:15.565,13
2,S3,Shift 3,15:00:00,22:00:00,5,false,false,2025-11-25 17:23:15.565,12
1,S5,Shift Siang,13:00:00,21:00:00,0,true,false,2025-12-01 14:55:23.756,28
2,S2,Shift Siang,13:00:00,21:00:00,0,true,false,2025-11-25 17:23:15.565,11
7,S1,Shift HO,09:00:00,18:00:00,0,true,true,2025-11-25 17:23:15.565,25
4,S4,Shift Midle,11:00:00,19:00:00,0,true,false,2025-11-25 17:23:15.565,16
4,S3,Shift Siang,13:00:00,21:00:00,0,true,false,2025-11-25 17:23:15.565,15
4,S2,Shift Pagi,09:00:00,17:00:00,0,true,true,2025-11-25 17:23:15.565,14
3,S2,Shift Pagi,09:00:00,17:00:00,0,true,false,2025-11-19 11:23:31.107,3
